scope,signal_date,execution_date,event_type,parameters,previous_offense,selected_offense,target_512890,target_offense,adjustment,orders,reason
历史样本外回测,2023-05-22,2023-05-23,512890仓位调整,L120 / W60 / W / 缓冲0.10,515880,515880,0.5,0.5,进攻候选不变，512890状态机把防守仓从0%调到50%,"卖出515880 567,800份；买入512890 627,800份",周频观察；簇第一名科技主题得分0.790，第一名仅领先当前簇0.000≤缓冲0.100，保留当前簇；簇内第一名仅领先当前ETF 0.000≤缓冲0.100，保留515880；进攻腿相对512890动量+11.4%达到下限10.0%；512890信号50%（回撤达到第一级并半仓）
历史样本外回测,2023-06-05,2023-06-06,512890仓位调整,L120 / W60 / W / 缓冲0.10,515880,515880,0.5,0.0,进攻候选不变，512890状态机把防守仓从50%调到50%,"卖出515880 567,800份；买入512890 34,400份",周频观察；簇第一名科技主题得分0.790，第一名仅领先当前簇0.000≤缓冲0.100，保留当前簇；簇内第一名仅领先当前ETF 0.000≤缓冲0.100，保留515880；进攻腿相对512890动量+1.0%未达下限10.0%；512890信号50%（维持第一级半仓）
历史样本外回测,2023-06-19,2023-06-20,512890仓位调整,L120 / W60 / W / 缓冲0.10,515880,515880,0.5,0.5,进攻候选不变，512890状态机把防守仓从50%调到50%,"买入512890 8,000份；买入515880 458,800份",周频观察；簇第一名科技主题得分0.790，第一名仅领先当前簇0.000≤缓冲0.100，保留当前簇；簇内第一名仅领先当前ETF 0.000≤缓冲0.100，保留515880；进攻腿相对512890动量+13.3%达到下限10.0%；512890信号50%（维持第一级半仓）
历史样本外回测,2023-06-26,2023-06-27,512890仓位调整,L120 / W60 / W / 缓冲0.10,515880,515880,1.0,0.0,进攻候选不变，512890状态机把防守仓从50%调到100%,"卖出515880 458,800份；买入512890 652,200份",周频观察；簇第一名小盘Beta得分0.805，第一名仅领先当前簇0.015≤缓冲0.100，保留当前簇；簇内第一名仅领先当前ETF 0.000≤缓冲0.100，保留515880；进攻腿相对512890动量+21.0%达到下限10.0%；512890信号100%（回撤加深到第二级并满仓）
历史样本外回测,2023-08-21,2023-08-22,候选变更（零进攻仓）,L120 / W60 / W / 缓冲0.10,515880,510300,1.0,0.0,进攻仓为0%，仅更新影子候选为510300，没有真实买卖进攻ETF,整手取整后无需成交,周频观察；簇第一名大盘Beta得分0.805，领先原簇科技主题 0.170>缓冲0.100，切换资产簇；原ETF515880不在胜出簇，选510300；进攻腿相对512890动量-10.9%未达下限10.0%；512890信号100%（维持第二级满仓）
历史样本外回测,2023-10-16,2023-10-17,候选变更（零进攻仓）,L120 / W60 / W / 缓冲0.10,510300,512800,1.0,0.0,进攻仓为0%，仅更新影子候选为512800，没有真实买卖进攻ETF,整手取整后无需成交,周频观察；簇第一名金融得分0.800，领先原簇大盘Beta 0.145>缓冲0.100，切换资产簇；原ETF510300不在胜出簇，选512800；进攻腿相对512890动量+1.8%未达下限10.0%；512890信号100%（维持第二级满仓）
历史样本外回测,2023-10-30,2023-10-31,候选变更（零进攻仓）,L120 / W60 / W / 缓冲0.10,512800,512880,1.0,0.0,进攻仓为0%，仅更新影子候选为512880，没有真实买卖进攻ETF,整手取整后无需成交,周频观察；簇第一名金融得分0.765，第一名仅领先当前簇0.000≤缓冲0.100，保留当前簇；512880领先原ETF512800 0.300>缓冲0.100，切换ETF；进攻腿相对512890动量+5.2%未达下限10.0%；512890信号100%（维持第二级满仓）
历史样本外回测,2023-11-06,2023-11-07,候选变更（零进攻仓）,L120 / W60 / W / 缓冲0.10,512880,512800,1.0,0.0,进攻仓为0%，仅更新影子候选为512800，没有真实买卖进攻ETF,整手取整后无需成交,周频观察；簇第一名金融得分0.720，第一名仅领先当前簇0.000≤缓冲0.100，保留当前簇；512800领先原ETF512880 0.150>缓冲0.100，切换ETF；进攻腿相对512890动量+0.5%未达下限10.0%；512890信号100%（维持第二级满仓）
历史样本外回测,2023-11-20,2023-11-21,候选变更（零进攻仓）,L120 / W60 / W / 缓冲0.10,512800,512880,1.0,0.0,进攻仓为0%，仅更新影子候选为512880，没有真实买卖进攻ETF,整手取整后无需成交,周频观察；簇第一名金融得分0.805，第一名仅领先当前簇0.000≤缓冲0.100，保留当前簇；512880领先原ETF512800 0.300>缓冲0.100，切换ETF；进攻腿相对512890动量+1.4%未达下限10.0%；512890信号100%（维持第二级满仓）
历史样本外回测,2024-01-02,2024-01-03,候选变更（零进攻仓）,L120 / W120 / W / 缓冲0.05,512880,515220,1.0,0.0,进攻仓为0%，仅更新影子候选为515220，没有真实买卖进攻ETF,整手取整后无需成交,周频观察；簇第一名资源周期得分0.823，第一名仅领先当前簇0.000≤缓冲0.050，保留当前簇；簇内第一名仅领先当前ETF 0.000≤缓冲0.050，保留515220；进攻腿相对512890动量+11.3%达到下限10.0%；512890信号100%（维持第二级满仓）
历史样本外回测,2024-02-21,2024-02-22,512890仓位调整,L120 / W120 / W / 缓冲0.05,515220,515220,0.0,1.0,进攻候选不变，512890状态机把防守仓从100%调到0%,"卖出512890 1,322,400份；买入515220 515,900份",非周频观察日，沿用资源周期/515220；512890信号0%（回撤基本修复；清仓等待趋势确认）
历史样本外回测,2024-03-11,2024-03-12,512890仓位调整,L120 / W120 / W / 缓冲0.05,515220,515220,0.0,0.0,进攻候选不变，512890状态机把防守仓从0%调到0%,"卖出515220 515,900份",周频观察；簇第一名资源周期得分0.873，第一名仅领先当前簇0.000≤缓冲0.050，保留当前簇；簇内第一名仅领先当前ETF 0.000≤缓冲0.050，保留515220；进攻腿相对512890动量+7.2%未达下限10.0%；512890信号0%（保持现金等待回撤）
历史样本外回测,2024-03-18,2024-03-19,512890仓位调整,L120 / W120 / W / 缓冲0.05,515220,515220,0.0,1.0,进攻候选不变，512890状态机把防守仓从0%调到0%,"买入515220 547,100份",周频观察；簇第一名资源周期得分0.832，第一名仅领先当前簇0.000≤缓冲0.050，保留当前簇；簇内第一名仅领先当前ETF 0.000≤缓冲0.050，保留515220；进攻腿相对512890动量+12.1%达到下限10.0%；512890信号0%（保持现金等待回撤）
历史样本外回测,2024-04-17,2024-04-18,512890仓位调整,L120 / W120 / W / 缓冲0.05,515220,515220,1.0,0.0,进攻候选不变，512890状态机把防守仓从0%调到100%,"卖出515220 1,094,200份；买入512890 1,349,900份",非周频观察日，沿用资源周期/515220；512890信号100%（连续接近复权新高；启动一次趋势奖金仓）
历史样本外回测,2024-04-23,2024-04-24,512890仓位调整,L120 / W120 / W / 缓冲0.05,515220,515220,0.0,0.0,进攻候选不变，512890状态机把防守仓从100%调到0%,"卖出512890 1,349,900份",非周频观察日，沿用资源周期/515220；512890信号0%（趋势奖金达到止损并清仓）
历史样本外回测,2024-05-13,2024-05-14,候选变更（零进攻仓）,L120 / W120 / W / 缓冲0.05,515220,512400,0.0,0.0,进攻仓为0%，仅更新影子候选为512400，没有真实买卖进攻ETF,整手取整后无需成交,周频观察；簇第一名大盘Beta得分0.855，第一名仅领先当前簇0.018≤缓冲0.050，保留当前簇；512400领先原ETF515220 0.300>缓冲0.050，切换ETF；进攻腿相对512890动量+6.4%未达下限10.0%；512890信号0%（保持现金等待回撤）
历史样本外回测,2024-05-20,2024-05-21,候选变更（零进攻仓）,L120 / W120 / W / 缓冲0.05,512400,515220,0.0,0.0,进攻仓为0%，仅更新影子候选为515220，没有真实买卖进攻ETF,整手取整后无需成交,周频观察；簇第一名资源周期得分0.836，第一名仅领先当前簇0.000≤缓冲0.050，保留当前簇；515220领先原ETF512400 0.150>缓冲0.050，切换ETF；进攻腿相对512890动量+3.9%未达下限10.0%；512890信号0%（保持现金等待回撤）
历史样本外回测,2024-05-27,2024-05-28,候选变更（零进攻仓）,L120 / W120 / W / 缓冲0.05,515220,512400,0.0,0.0,进攻仓为0%，仅更新影子候选为512400，没有真实买卖进攻ETF,整手取整后无需成交,周频观察；簇第一名大盘Beta得分0.855，第一名仅领先当前簇0.018≤缓冲0.050，保留当前簇；512400领先原ETF515220 0.300>缓冲0.050，切换ETF；进攻腿相对512890动量-0.6%未达下限10.0%；512890信号0%（保持现金等待回撤）
历史样本外回测,2024-06-17,2024-06-18,候选变更（零进攻仓）,L120 / W120 / W / 缓冲0.05,512400,510300,0.0,0.0,进攻仓为0%，仅更新影子候选为510300，没有真实买卖进攻ETF,整手取整后无需成交,周频观察；簇第一名大盘Beta得分0.809，领先原簇资源周期 0.100>缓冲0.050，切换资产簇；原ETF512400不在胜出簇，选510300；进攻腿相对512890动量-7.7%未达下限10.0%；512890信号0%（保持现金等待回撤）
历史样本外回测,2024-07-26,2024-07-29,512890仓位调整,L120 / W120 / W / 缓冲0.05,510300,510300,0.5,0.0,进攻候选不变，512890状态机把防守仓从0%调到50%,"买入512890 693,000份",非周频观察日，沿用大盘Beta/510300；512890信号50%（回撤达到第一级并半仓）
历史样本外回测,2024-08-26,2024-08-27,候选变更（零进攻仓）,L120 / W120 / W / 缓冲0.05,510300,512800,0.5,0.0,进攻仓为0%，仅更新影子候选为512800，没有真实买卖进攻ETF,"卖出512890 5,300份",周频观察；簇第一名金融得分0.877，领先原簇大盘Beta 0.064>缓冲0.050，切换资产簇；原ETF510300不在胜出簇，选512800；进攻腿相对512890动量+8.6%未达下限10.0%；512890信号50%（维持第一级半仓）
历史样本外回测,2024-09-11,2024-09-12,512890仓位调整,L120 / W120 / W / 缓冲0.05,512800,512800,1.0,0.0,进攻候选不变，512890状态机把防守仓从50%调到100%,"买入512890 749,100份",非周频观察日，沿用金融/512800；512890信号100%（回撤加深到第二级并满仓）
历史样本外回测,2024-09-30,2024-10-08,512890仓位调整,L120 / W120 / W / 缓冲0.05,512800,512800,0.0,1.0,进攻候选不变，512890状态机把防守仓从100%调到0%,"卖出512890 1,436,800份；买入512800 1,200,600份",周频观察；簇第一名金融得分0.864，第一名仅领先当前簇0.000≤缓冲0.050，保留当前簇；簇内第一名仅领先当前ETF 0.000≤缓冲0.050，保留512800；进攻腿相对512890动量+12.2%达到下限10.0%；512890信号0%（回撤基本修复；清仓等待趋势确认）
历史样本外回测,2024-10-09,2024-10-10,512890仓位调整,L120 / W120 / W / 缓冲0.05,512800,512800,0.5,0.5,进攻候选不变，512890状态机把防守仓从0%调到50%,"卖出512800 600,300份；买入512890 770,000份",非周频观察日，沿用金融/512800；512890信号50%（回撤达到第一级并半仓）
历史样本外回测,2024-10-28,2024-10-29,512890仓位调整,L120 / W120 / W / 缓冲0.05,512800,512800,0.5,0.0,进攻候选不变，512890状态机把防守仓从50%调到50%,"卖出512800 600,300份；买入512890 300份",周频观察；簇第一名金融得分0.818，第一名仅领先当前簇0.000≤缓冲0.050，保留当前簇；簇内第一名仅领先当前ETF 0.000≤缓冲0.050，保留512800；进攻腿相对512890动量+9.6%未达下限10.0%；512890信号50%（维持第一级半仓）
历史样本外回测,2024-11-04,2024-11-05,进攻腿切换,L120 / W120 / W / 缓冲0.05,512800,512880,0.5,0.5,进攻腿由512800切到512880,"买入512890 1,400份；买入512880 696,700份",周频观察；簇第一名金融得分0.864，第一名仅领先当前簇0.000≤缓冲0.050，保留当前簇；512880领先原ETF512800 0.300>缓冲0.050，切换ETF；进攻腿相对512890动量+21.4%达到下限10.0%；512890信号50%（维持第一级半仓）
历史样本外回测,2024-11-11,2024-11-12,进攻腿切换,L120 / W120 / W / 缓冲0.05,512880,512480,0.5,0.5,进攻腿由512880切到512480,"卖出512880 696,700份；买入512890 38,500份；买入512480 781,500份",周频观察；簇第一名科技主题得分0.868，领先原簇金融 0.173>缓冲0.050，切换资产簇；原ETF512880不在胜出簇，选512480；进攻腿相对512890动量+29.7%达到下限10.0%；512890信号50%（维持第一级半仓）
历史样本外回测,2024-11-18,2024-11-19,进攻腿切换,L120 / W120 / W / 缓冲0.05,512480,588000,0.5,0.5,进攻腿由512480切到588000,"卖出512890 53,200份；卖出512480 781,500份；买入588000 808,100份",周频观察；簇第一名科创板得分0.845，领先原簇科技主题 0.073>缓冲0.050，切换资产簇；原ETF512480不在胜出簇，选588000；进攻腿相对512890动量+32.7%达到下限10.0%；512890信号50%（维持第一级半仓）
历史样本外回测,2024-12-02,2024-12-03,进攻腿切换,L120 / W120 / W / 缓冲0.05,588000,512480,0.5,0.5,进攻腿由588000切到512480,"卖出588000 808,100份；买入512890 18,500份；买入512480 825,900份",周频观察；簇第一名科技主题得分0.809，领先原簇科创板 0.064>缓冲0.050，切换资产簇；原ETF588000不在胜出簇，选512480；进攻腿相对512890动量+33.5%达到下限10.0%；512890信号50%（维持第一级半仓）
历史样本外回测,2024-12-09,2024-12-10,进攻腿切换,L120 / W120 / W / 缓冲0.05,512480,588000,0.5,0.5,进攻腿由512480切到588000,"卖出512480 825,900份；买入512890 3,300份；买入588000 803,300份",周频观察；簇第一名科创板得分0.805，领先原簇科技主题 0.059>缓冲0.050，切换资产簇；原ETF512480不在胜出簇，选588000；进攻腿相对512890动量+38.7%达到下限10.0%；512890信号50%（维持第一级半仓）
历史样本外回测,2024-12-16,2024-12-17,进攻腿切换,L120 / W120 / W / 缓冲0.05,588000,512880,0.5,0.5,进攻腿由588000切到512880,"卖出512890 22,600份；卖出588000 803,300份；买入512880 704,100份",周频观察；簇第一名金融得分0.864，领先原簇科创板 0.077>缓冲0.050，切换资产簇；原ETF588000不在胜出簇，选512880；进攻腿相对512890动量+41.9%达到下限10.0%；512890信号50%（维持第一级半仓）
历史样本外回测,2025-02-05,2025-02-06,进攻腿切换,L240 / W60 / M / 缓冲0.05,512880,588000,0.5,0.5,进攻腿由512880切到588000,"卖出512890 23,200份；卖出512880 704,100份；买入588000 764,600份",月频观察；簇第一名科创板得分0.823，领先原簇金融 0.173>缓冲0.050，切换资产簇；原ETF512880不在胜出簇，选588000；进攻腿相对512890动量+29.0%达到下限10.0%；512890信号50%（维持第一级半仓）
历史样本外回测,2025-05-13,2025-05-14,512890仓位调整,L240 / W60 / M / 缓冲0.05,588000,588000,0.0,1.0,进攻候选不变，512890状态机把防守仓从50%调到0%,"卖出512890 733,000份；买入588000 788,400份",非月频观察日，沿用科创板/588000；512890信号0%（回撤基本修复；清仓等待趋势确认）
历史样本外回测,2025-06-20,2025-06-23,512890仓位调整,L240 / W60 / M / 缓冲0.05,588000,588000,1.0,0.0,进攻候选不变，512890状态机把防守仓从0%调到100%,"卖出588000 1,553,000份；买入512890 1,315,500份",非月频观察日，沿用科创板/588000；512890信号100%（连续接近复权新高；启动一次趋势奖金仓）
历史样本外回测,2025-07-10,2025-07-11,512890仓位调整,L240 / W60 / M / 缓冲0.05,588000,588000,0.0,1.0,进攻候选不变，512890状态机把防守仓从100%调到0%,"卖出512890 1,315,500份；买入588000 1,563,800份",非月频观察日，沿用科创板/588000；512890信号0%（趋势奖金达到止盈并清仓）
历史样本外回测,2025-08-01,2025-08-04,进攻腿切换,L240 / W60 / M / 缓冲0.05,588000,515880,0.0,1.0,进攻腿由588000切到515880,"卖出588000 1,563,800份；买入515880 998,300份",月频观察；簇第一名科技主题得分0.836，领先原簇科创板 0.150>缓冲0.050，切换资产簇；原ETF588000不在胜出簇，选515880；进攻腿相对512890动量+20.2%达到下限10.0%；512890信号0%（保持现金等待回撤）
历史样本外回测,2025-09-30,2025-10-09,512890仓位调整,L240 / W60 / M / 缓冲0.05,515880,515880,0.5,0.5,进攻候选不变，512890状态机把防守仓从0%调到50%,"卖出515880 498,600份；买入512890 1,182,400份",非月频观察日，沿用科技主题/515880；512890信号50%（回撤达到第一级并半仓）
历史样本外回测,2025-11-10,2025-11-11,512890仓位调整,L240 / W60 / M / 缓冲0.05,515880,515880,0.0,1.0,进攻候选不变，512890状态机把防守仓从50%调到0%,"卖出512890 1,182,400份；买入515880 553,300份",非月频观察日，沿用科技主题/515880；512890信号0%（回撤基本修复；清仓等待趋势确认）
历史样本外回测,2026-01-15,2026-01-16,512890仓位调整,L240 / W120 / M / 缓冲0.10,515880,515880,0.5,0.5,进攻候选不变，512890状态机把防守仓从0%调到50%,"卖出515880 526,500份；买入512890 1,468,000份",非月频观察日，沿用科技主题/515880；512890信号50%（回撤达到第一级并半仓）
历史样本外回测,2026-06-25,2026-06-26,512890仓位调整,L240 / W120 / M / 缓冲0.10,515880,515880,1.0,0.0,进攻候选不变，512890状态机把防守仓从50%调到100%,"卖出515880 1,579,500份；买入512890 2,679,100份",非月频观察日，沿用科技主题/515880；512890信号100%（回撤加深到第二级并满仓）
冻结后前瞻模拟盘,2026-08-12,2026-08-13,新账户启动（空仓等待512890）,L240 / W60 / M / 缓冲0.00,,512480,0.0,0.0,账户从现金开始；当前512890信号为0%，不配置进攻腿，候选512480仅观察,整手取整后无需成交,启动阶段：等待512890首次非零信号并于下一交易日完成建仓；当前512890信号0%，进攻候选512480仅观察
